2010-09-27 01:03:11,042 |(eddy) | HydroNEXRAD|GetSiteInfo|HydroNEXRAD:HydroNEXRAD-02-1-47395||||||132.249.69.238
2010-09-27 01:03:11,074 |(eddy) | HydroNEXRAD|GetSiteInfo|HydroNEXRAD:HydroNEXRAD-02-1-47395||||41|1|132.249.69.238
2010-09-27 01:03:11,074 |(eddy) | HydroNEXRAD|GetSiteInfo|HydroNEXRAD:HydroNEXRAD-02-1-47395||||41|1|132.249.69.238
2010-09-27 01:03:11,589 |(eddy) | HydroNEXRAD|GetSiteInfo|HydroNEXRAD:HydroNEXRAD-02-1-47396||||||132.249.69.238
2010-09-27 01:03:11,589 |(eddy) | HydroNEXRAD|GetSiteInfo|HydroNEXRAD:HydroNEXRAD-02-1-47396||||||132.249.69.238
2010-09-27 01:03:11,636 |(eddy) | HydroNEXRAD|GetSiteInfo|HydroNEXRAD:HydroNEXRAD-02-1-47396||||40|1|132.249.69.238
2010-09-27 01:03:11,636 |(eddy) | HydroNEXRAD|GetSiteInfo|HydroNEXRAD:HydroNEXRAD-02-1-47396||||40|1|132.249.69.238
2010-09-27 01:03:16,855 |(eddy) | HydroNEXRAD|GetSiteInfo|HydroNEXRAD:HydroNEXRAD-02-1-47000||||||132.249.69.238
2010-09-27 01:03:16,855 |(eddy) | HydroNEXRAD|GetSiteInfo|HydroNEXRAD:HydroNEXRAD-02-1-47000||||||132.249.69.238
2010-09-27 01:03:16,902 |(eddy) | HydroNEXRAD|GetSiteInfo|HydroNEXRAD:HydroNEXRAD-02-1-47000||||40|1|132.249.69.238
2010-09-27 01:03:16,902 |(eddy) | HydroNEXRAD|GetSiteInfo|HydroNEXRAD:HydroNEXRAD-02-1-47000||||40|1|132.249.69.238
2010-09-27 01:03:17,417 |(eddy) | HydroNEXRAD|GetSiteInfo|HydroNEXRAD:HydroNEXRAD-02-1-47001||||||132.249.69.238
2010-09-27 01:03:17,417 |(eddy) | HydroNEXRAD|GetSiteInfo|HydroNEXRAD:HydroNEXRAD-02-1-47001||||||132.249.69.238
2010-09-27 01:03:17,464 |(eddy) | HydroNEXRAD|GetSiteInfo|HydroNEXRAD:HydroNEXRAD-02-1-47001||||40|1|132.249.69.238
2010-09-27 01:03:17,464 |(eddy) | HydroNEXRAD|GetSiteInfo|HydroNEXRAD:HydroNEXRAD-02-1-47001||||40|1|132.249.69.238
2010-09-27 01:03:17,980 |(eddy) | HydroNEXRAD|GetSiteInfo|HydroNEXRAD:HydroNEXRAD-02-1-47002||||||132.249.69.238
2010-09-27 01:03:17,980 |(eddy) | HydroNEXRAD|GetSiteInfo|HydroNEXRAD:HydroNEXRAD-02-1-47002||||||132.249.69.238
2010-09-27 01:03:18,011 |(eddy) | HydroNEXRAD|GetSiteInfo|HydroNEXRAD:HydroNEXRAD-02-1-47002||||40|1|132.249.69.238
2010-09-27 01:03:18,011 |(eddy) | HydroNEXRAD|GetSiteInfo|HydroNEXRAD:HydroNEXRAD-02-1-47002||||40|1|132.249.69.238
2010-09-27 01:03:18,527 |(eddy) | HydroNEXRAD|GetSiteInfo|HydroNEXRAD:HydroNEXRAD-02-1-47003||||||132.249.69.238
2010-09-27 01:03:18,527 |(eddy) | HydroNEXRAD|GetSiteInfo|HydroNEXRAD:HydroNEXRAD-02-1-47003||||||132.249.69.238
2010-09-27 01:03:18,574 |(eddy) | HydroNEXRAD|GetSiteInfo|HydroNEXRAD:HydroNEXRAD-02-1-47003||||39|1|132.249.69.238
2010-09-27 01:03:18,574 |(eddy) | HydroNEXRAD|GetSiteInfo|HydroNEXRAD:HydroNEXRAD-02-1-47003||||39|1|132.249.69.238
2010-09-27 01:03:19,089 |(eddy) | HydroNEXRAD|GetSiteInfo|HydroNEXRAD:HydroNEXRAD-02-1-47004||||||132.249.69.238
2010-09-27 01:03:19,089 |(eddy) | HydroNEXRAD|GetSiteInfo|HydroNEXRAD:HydroNEXRAD-02-1-47004||||||132.249.69.238
2010-09-27 01:03:19,136 |(eddy) | HydroNEXRAD|GetSiteInfo|HydroNEXRAD:HydroNEXRAD-02-1-47004||||40|1|132.249.69.238
2010-09-27 01:03:19,136 |(eddy) | HydroNEXRAD|GetSiteInfo|HydroNEXRAD:HydroNEXRAD-02-1-47004||||40|1|132.249.69.238
2010-09-27 01:03:19,652 |(eddy) | HydroNEXRAD|GetSiteInfo|HydroNEXRAD:HydroNEXRAD-02-1-47005||||||132.249.69.238
2010-09-27 01:03:19,652 |(eddy) | HydroNEXRAD|GetSiteInfo|HydroNEXRAD:HydroNEXRAD-02-1-47005||||||132.249.69.238
2010-09-27 01:03:19,699 |(eddy) | HydroNEXRAD|GetSiteInfo|HydroNEXRAD:HydroNEXRAD-02-1-47005||||43|1|132.249.69.238
2010-09-27 01:03:19,699 |(eddy) | HydroNEXRAD|GetSiteInfo|HydroNEXRAD:HydroNEXRAD-02-1-47005||||43|1|132.249.69.238
2010-09-27 01:03:20,214 |(eddy) | HydroNEXRAD|GetSiteInfo|HydroNEXRAD:HydroNEXRAD-02-1-47006||||||132.249.69.238
2010-09-27 01:03:20,214 |(eddy) | HydroNEXRAD|GetSiteInfo|HydroNEXRAD:HydroNEXRAD-02-1-47006||||||132.249.69.238
2010-09-27 01:03:20,261 |(eddy) | HydroNEXRAD|GetSiteInfo|HydroNEXRAD:HydroNEXRAD-02-1-47006||||40|1|132.249.69.238
2010-09-27 01:03:20,261 |(eddy) | HydroNEXRAD|GetSiteInfo|HydroNEXRAD:HydroNEXRAD-02-1-47006||||40|1|132.249.69.238
2010-09-27 01:03:20,777 |(eddy) | HydroNEXRAD|GetSiteInfo|HydroNEXRAD:HydroNEXRAD-02-1-47007||||||132.249.69.238
2010-09-27 01:03:20,777 |(eddy) | HydroNEXRAD|GetSiteInfo|HydroNEXRAD:HydroNEXRAD-02-1-47007||||||132.249.69.238
2010-09-27 01:03:20,824 |(eddy) | HydroNEXRAD|GetSiteInfo|HydroNEXRAD:HydroNEXRAD-02-1-47007||||40|1|132.249.69.238
2010-09-27 01:03:20,824 |(eddy) | HydroNEXRAD|GetSiteInfo|HydroNEXRAD:HydroNEXRAD-02-1-47007||||40|1|132.249.69.238
2010-09-27 01:03:21,339 |(eddy) | HydroNEXRAD|GetSiteInfo|HydroNEXRAD:HydroNEXRAD-02-1-47008||||||132.249.69.238
2010-09-27 01:03:21,339 |(eddy) | HydroNEXRAD|GetSiteInfo|HydroNEXRAD:HydroNEXRAD-02-1-47008||||||132.249.69.238
2010-09-27 01:03:21,370 |(eddy) | HydroNEXRAD|GetSiteInfo|HydroNEXRAD:HydroNEXRAD-02-1-47008||||40|1|132.249.69.238
2010-09-27 01:03:21,370 |(eddy) | HydroNEXRAD|GetSiteInfo|HydroNEXRAD:HydroNEXRAD-02-1-47008||||40|1|132.249.69.238
2010-09-27 01:03:21,902 |(eddy) | HydroNEXRAD|GetSiteInfo|HydroNEXRAD:HydroNEXRAD-02-1-47009||||||132.249.69.238
2010-09-27 01:03:21,902 |(eddy) | HydroNEXRAD|GetSiteInfo|HydroNEXRAD:HydroNEXRAD-02-1-47009||||||132.249.69.238
2010-09-27 01:03:21,933 |(eddy) | HydroNEXRAD|GetSiteInfo|HydroNEXRAD:HydroNEXRAD-02-1-47009||||40|1|132.249.69.238
2010-09-27 01:03:21,933 |(eddy) | HydroNEXRAD|GetSiteInfo|HydroNEXRAD:HydroNEXRAD-02-1-47009||||40|1|132.249.69.238
2010-09-27 01:03:27,308 |(eddy) | HydroNEXRAD|GetSiteInfo|HydroNEXRAD:HydroNEXRAD-02-1-47010||||||132.249.69.238
2010-09-27 01:03:27,308 |(eddy) | HydroNEXRAD|GetSiteInfo|HydroNEXRAD:HydroNEXRAD-02-1-47010||||||132.249.69.238
2010-09-27 01:03:27,339 |(eddy) | HydroNEXRAD|GetSiteInfo|HydroNEXRAD:HydroNEXRAD-02-1-47010||||39|1|132.249.69.238
