site_id     dd_nu  site_no                                            station_nm                                       state_cd                                           county_cd                                          district_cd                                        country_cd
1180986     3      12513000                                           ESQUATZEL COULEE AT CONNELL, WA                  53                                                 021                                                53                                                 US
1181002     2      13334300                                           SNAKE RIVER NEAR ANATONE, WA                     53                                                 003                                                53                                                 US
1551165     16     13334450                                           ASOTIN CREEK BELOW CONFLUENCE NEAR ASOTIN, WA    53                                                 003                                                53                                                 US
1181098     1      13351000                                           PALOUSE RIVER AT HOOPER, WA                      53                                                 075                                                53                                                 US
1181205     4      14123500                                           WHITE SALMON RIVER NEAR UNDERWOOD, WA            53                                                 059                                                53                                                 US
1181270     3      14219800                                           SPEELYAI CREEK NEAR COUGAR, WA                   53                                                 015                                                53                                                 US
1181278     4      14222500                                           EAST FORK LEWIS RIVER NEAR HEISSON, WA           53                                                 011                                                53                                                 US
1181311     1      14231000                                           COWLITZ RIVER AT RANDLE, WA                      53                                                 041                                                53                                                 US
1181316     3      14231900                                           CISPUS RIVER AB YELLOWJACKET CREEK NEAR RANDLE,  53                                                 041                                                53                                                 US
1181336     1      14236200                                           TILTON RIVER AB BEAR CANYON CREEK NEAR CINEBAR,  53                                                 041                                                53                                                 US
1181343     1      14238000                                           COWLITZ RIVER BELOW MAYFIELD DAM, WA             53                                                 041                                                53                                                 US
1181405     7      14241500                                           SOUTH FORK TOUTLE RIVER AT TOUTLE, WA            53                                                 015                                                53                                                 US
1181418     17     14243000                                           COWLITZ RIVER AT CASTLE ROCK, WA                 53                                                 015                                                53                                                 US
1181418     20     14243000                                           COWLITZ RIVER AT CASTLE ROCK, WA                 53                                                 015                                                53                                                 US
2224436     1      11312672                                           VICTORIA CANAL NR BYRON CA                       06                                                 077                                                06                                                 US
2224437     1      11311300                                           TURNER CUT NR HOLT CA                            06                                                 077                                                06                                                 US
2323597     4      11312685                                           MIDDLE R NR HOLT CA                              06                                                 077                                                06                                                 US
2323596     4      11313431                                           HOLLAND CUT NR BETHEL ISLAND CA                  06                                                 013                                                06                                                 US
2323598     4      11313440                                           FALSE R NR OAKLEY CA                             06                                                 013                                                06                                                 US
2323595     4      11313434                                           OLD R A QUIMBY ISLAND NR BETHEL ISLAND CA        06                                                 013                                                06                                                 US
2323602     4      11313460                                           SAN JOAQUIN R A PRISONERS PT NR TERMINOUS CA     06                                                 077                                                06                                                 US
2323599     4      11313452                                           OLD R A FRANKS TRACT NR TERMINOUS CA             06                                                 013                                                06                                                 US
2323601     4      11336790                                           LITTLE POTATO SLOUGH A TERMINOUS CA              06                                                 077                                                06                                                 US
2209083     6      11336600                                           DELTA CROSS CHANNEL NR WALNUT GROVE              06                                                 067                                                06                                                 US
2209086     5      11337080                                           THREEMILE SLOUGH NR RIO VISTA CA                 06                                                 067                                                06                                                 US
2323600     4      11336930                                           MOKELUMNE R A ANDRUS ISLAND NR TERMINOUS CA      06                                                 067                                                06                                                 US
2224439     4      11447830                                           SUTTER SLOUGH A COURTLAND CA                     06                                                 067                                                06                                                 US
2209860     2      11447650                                           SACRAMENTO R A FREEPORT CA                       06                                                 067                                                06                                                 US
2209865     1      11447903                                           GEORGIANA SLOUGH NR SACRAMENTO R                 06                                                 067                                                06                                                 US
2209863     1      11447850                                           STEAMBOAT SLOUGH BTW SACRAMENTO R + SUTTER SLOUG 06                                                 067                                                06                                                 US
2209924     5      11455165                                           MINER SLOUGH A HWY 84 BRIDGE                     06                                                 095                                                06                                                 US
2209932     9      11455350                                           CACHE SLOUGH A RYER ISLAND                       06                                                 095                                                06                                                 US
2181809     1      01113895                                           BLACKSTONE R AT ROOSEVELT ST AT PAWTUCKET RI     44                                                 007                                                25                                                 US
2134825     2      07214470                                           SIERRA DITCH NEAR CHACON, NM                     35                                                 033                                                35                                                 US
558622      5      07221500                                           CANADIAN RIVER NEAR SANCHEZ, NM                  35                                                 047                                                35                                                 US
558758      5      08287000                                           RIO CHAMA BELOW ABIQUIU DAM, NM                  35                                                 039                                                35                                                 US
558765      1      08291000                                           SANTA CRUZ RIVER NEAR CUNDIYO, NM                35                                                 049                                                35                                                 US
558882      1      08329900                                           NORTH FLOODWAY CHANNEL NEAR ALAMEDA, NM          35                                                 001                                                35                                                 US
558917      1      08330600                                           TIJERAS ARROYO NR ALBUQUERQUE, NM                35                                                 001                                                35                                                 US
558920      1      08330775                                           SOUTH DIV CHANNEL ABV TIJERAS ARROYO NR ALBQ., N 35                                                 001                                                35                                                 US
558971      2      08353000                                           RIO PUERCO NEAR BERNARDO, NM                     35                                                 053                                                35                                                 US
558980      5      08354900                                           RIO GRANDE FLOODWAY AT SAN ACACIA, NM            35                                                 053                                                35                                                 US
559185      1      08405150                                           DARK CANYON AT CARLSBAD, NM                      35                                                 015                                                35                                                 US
559322      2      09364500                                           ANIMAS RIVER AT FARMINGTON, NM                   35                                                 045                                                35                                                 US
559375      1      09386950                                           ZUNI RIVER ABV BLACK ROCK RESERVOIR, NM          35                                                 031                                                35                                                 US
559395      1      09430600                                           MOGOLLON CREEK NEAR CLIFF, NM                    35                                                 017                                                35                                                 US
559400      5      09431500                                           GILA RIVER NEAR REDROCK, NM                      35                                                 017                                                35                                                 US
1031167     16     02084000                                           TAR RIVER AT GREENVILLE, NC                      37                                                 147                                                37                                                 US
1031258     2      0208524975                                         LITTLE R BL LITTLE R TRIB AT FAIRNTOSH, NC       37                                                 063                                                37                                                 US
1031275     2      0208650112                                         FLAT RIVER TRIB NR WILLARDVILLE, NC              37                                                 063                                                37                                                 US
1031333     2      02087359                                           WALNUT CREEK AT SUNNYBROOK DRIVE NR RALEIGH, NC  37                                                 183                                                37                                                 US
1031564     2      02097314                                           NEW HOPE CREEK NEAR BLANDS, NC                   37                                                 063                                                37                                                 US
1031646     1      02102192                                           BUCKHORN CREEK NR CORINTH, NC                    37                                                 037                                                37                                                 US
1031703     1      02105900                                           HOOD CREEK NEAR LELAND, NC                       37                                                 019                                                37                                                 US
1031765     1      02112120                                           ROARING RIVER NEAR ROARING RIVER, NC             37                                                 193                                                37                                                 US
1031775     1      02113850                                           ARARAT RIVER AT ARARAT, NC                       37                                                 171                                                37                                                 US
1031778     1      02114450                                           LITTLE YADKIN RIVER AT DALTON, NC                37                                                 169                                                37                                                 US
1031900     2      02129000                                           PEE DEE R NR ROCKINGHAM, NC                      37                                                 153                                                37                                                 US
1032093     2      02145000                                           SOUTH FORK CATAWBA RIVER AT LOWELL, NC           37                                                 071                                                37                                                 US
1032175     2      02150495                                           SECOND BROAD RIVER NR LOGAN, NC                  37                                                 161                                                37                                                 US
1032250     2      0344894205                                         NORTH FORK SWANNANOA RIVER NEAR WALKERTOWN, NC   37                                                 021                                                37                                                 US
1032282     2      0345577330                                         WEST FORK PIGEON RIVER NEAR RETREAT, NC          37                                                 087                                                37                                                 US
1032306     2      03460795                                           PIGEON R BL POWER PLANT NR WATERVILLE, NC        37                                                 087                                                37                                                 US
2212085     2      03505550                                           NANTAHALA RIVER NEAR HEWITT, NC                  37                                                 173                                                37                                                 US
2195422     2      03508050                                           TUCKASEGEE RIVER AT SR 1172 NR CULLOWHEE, NC     37                                                 099                                                37                                                 US
2195423     2      03510577                                           TUCKASEGEE RIVER AT BARKER'S CREEK, NC           37                                                 099                                                37                                                 US
1032377     2      0351706800                                         CHEOAH RIVER NR BEARPEN GAP NR TAPOCO, NC        37                                                 075                                                37                                                 US
802423      6      09211200                                           GREEN RIVER BELOW FONTENELLE RESERVOIR, WY       56                                                 037                                                56                                                 US
64865       2      05014500                                           Swiftcurrent Creek at Many Glacier MT            30                                                 035                                                30                                                 US
1956193     2      05014300                                           Swiftcurrent Cr ab Swiftcurrent Lk at Many Glaci 30                                                 035                                                30                                                 US
65128       2      06071300                                           Little Prickly Pear Cr at Wolf Cr MT             30                                                 049                                                30                                                 US
65135       1      06073500                                           Dearborn River near Craig MT                     30                                                 049                                                30                                                 US
65164       5      06078200                                           Missouri River near Ulm MT                       30                                                 013                                                30                                                 US
65206       1      06090300                                           Missouri River near Great Falls MT               30                                                 013                                                30                                                 US
65204       6      06089000                                           Sun River near Vaughn MT                         30                                                 013                                                30                                                 US
65289       2      06108800                                           Teton River at Loma MT                           30                                                 015                                                30                                                 US
65272       1      06102500                                           Teton River bl South Fork nr Choteau MT          30                                                 099                                                30                                                 US
65285       1      06108000                                           Teton River near Dutton MT                       30                                                 099                                                30                                                 US
65251       3      06099500                                           Marias River near Shelby MT                      30                                                 101                                                30                                                 US
65260       2      06101500                                           Marias River near Chester MT                     30                                                 051                                                30                                                 US
65217       2      06090800                                           Missouri River at Fort Benton MT                 30                                                 015                                                30                                                 US
65291       6      06109500                                           Missouri River at Virgelle MT                    30                                                 015                                                30                                                 US
65335       1      06120500                                           Musselshell River at Harlowton MT                30                                                 107                                                30                                                 US
65360       5      06126500                                           Musselshell River near Roundup MT                30                                                 065                                                30                                                 US
65369       1      06127500                                           Musselshell River at Musselshell MT              30                                                 065                                                30                                                 US
65388       2      06130500                                           Musselshell River at Mosby MT                    30                                                 069                                                30                                                 US
65318       6      06115200                                           Missouri River near Landusky MT                  30                                                 027                                                30                                                 US
860454      2      021973269                                          SAVANNAH RIVER NEAR WAYNESBORO, GA               13                                                 033                                                13                                                 US
1871338     4      02430615                                           MUD CREEK NR FAIRVIEW, MS                        28                                                 057                                                28                                                 US
1871343     4      02430880                                           CUMMINGS CREEK NR FULTON, MS                     28                                                 057                                                28                                                 US
1871355     1      02433500                                           TOMBIGBEE RIVER AT BIGBEE, MS                    28                                                 095                                                28                                                 US
1871398     21     02437100                                           TOMBIGBEE RIVER AT ABERDEEN LOCK AND DAM, MS     28                                                 095                                                28                                                 US
1871408     4      02439400                                           BUTTAHATCHEE RIVER NR ABERDEEN, MS               28                                                 095                                                28                                                 US
1871431     1      02441390                                           TOMBIGBEE RIVER AT STENNIS LOCK AND DAM, MS      28                                                 087                                                28                                                 US
1871461     4      02448000                                           NOXUBEE RIVER AT MACON, MS                       28                                                 103                                                28                                                 US
1871558     4      02473500                                           TALLAHALA CREEK AT LAUREL, MS                    28                                                 067                                                28                                                 US
1871601     4      02474600                                           BOGUE HOMO NR RICHTON, MS                        28                                                 111                                                28                                                 US
1871650     4      02475500                                           CHUNKY RIVER NR CHUNKY, MS                       28                                                 075                                                28                                                 US
1871635     4      02475000                                           LEAF RIVER NR MCLAIN, MS                         28                                                 041                                                28                                                 US
1871664     4      02476600                                           OKATIBBEE CREEK AT ARUNDEL, MS                   28                                                 075                                                28                                                 US
1871714     4      02477990                                           BUCKATUNNA CREEK NR DENHAM, MS                   28                                                 153                                                28                                                 US
1871725     4      02478500                                           CHICKASAWHAY RIVER AT LEAKESVILLE, MS            28                                                 041                                                28                                                 US
1871732     6      02479000                                           PASCAGOULA RIVER AT MERRILL, MS                  28                                                 039                                                28                                                 US
2287962     2      0247914380                                         PEARCES CREEK NR NEW AUGUSTA, MS                 28                                                 111                                                28                                                 US
1871787     8      02479300                                           RED CREEK AT VESTRY, MS                          28                                                 039                                                28                                                 US
1871766     7      02479155                                           CYPRESS CREEK NR JANICE, MS                      28                                                 111                                                28                                                 US
1871788     18     02479310                                           PASCAGOULA RIVER AT GRAHAM FERRY, MS             28                                                 059                                                28                                                 US
1871839     4      02481000                                           BILOXI RIVER AT WORTHAM, MS                      28                                                 047                                                28                                                 US
1871966     4      02484000                                           YOCKANOOKANY RIVER NR KOSCIUSKO, MS              28                                                 007                                                28                                                 US
1871957     3      02483500                                           PEARL RIVER NR LENA, MS                          28                                                 079                                                28                                                 US
1871967     6      02484500                                           YOCKANOOKANY RIVER NR OFAHOMA, MS                28                                                 079                                                28                                                 US
1872088     5      02490500                                           BOGUE CHITTO NR TYLERTOWN, MS                    28                                                 113                                                28                                                 US
1872093     2      02492343                                           EAST HOBOLOCHITTO CREEK NR CAESAR, MS            28                                                 109                                                28                                                 US
1872208     2      07275900                                           COLDWATER RIVER NR OLIVE BRANCH, MS              28                                                 033                                                28                                                 US
1872186     4      07274000                                           YOCONA RIVER NR OXFORD, MS                       28                                                 071                                                28                                                 US
1872149     4      07268000                                           LITTLE TALLAHATCHIE RIVER AT ETTA, MS            28                                                 145                                                28                                                 US
1872237     10     07277700                                           HICKAHALA CREEK NR SENATOBIA, MS                 28                                                 137                                                28                                                 US
1872297     7      07282100                                           TOPASHAW CREEK CANAL NR CALHOUN CITY, MS         28                                                 013                                                28                                                 US
1872296     2      07282097                                           BEAR CREEK CANAL NR DERMA, MS                    28                                                 013                                                28                                                 US
1872451     12     07288650                                           BOGUE PHALIA NR LELAND, MS                       28                                                 151                                                28                                                 US
1872394     4      07287400                                           BLACK CREEK AT LEXINGTON, MS                     28                                                 051                                                28                                                 US
1970960     2      0728875070                                         DEER CREEK EAST OF LELAND, MS                    28                                                 151                                                28                                                 US
1872478     3      07288955                                           YAZOO RIVER BL STEELE BAYOU NR LONG LAKE, MS     28                                                 149                                                28                                                 US
1872567     19     07290650                                           BAYOU PIERRE NR WILLOWS, MS                      28                                                 021                                                28                                                 US
1872542     8      07290000                                           BIG BLACK RIVER NR BOVINA, MS                    28                                                 049                                                28                                                 US
1872608     8      07292500                                           HOMOCHITTO RIVER AT ROSETTA, MS                  28                                                 037                                                28                                                 US
624050      1      15484000                                           SALCHA R NR SALCHAKET AK                         02                                                 090                                                02                                                 US
624064      1      15493000                                           CHENA R NR TWO RIVERS AK                         02                                                 090                                                02                                                 US
834084      1      05504800                                           South Fork Salt River above Santa Fe, MO         29                                                 007                                                29                                                 US
834159      4      06821150                                           Little Platte River at Smithville, MO            29                                                 047                                                29                                                 US
834342      6      06909000                                           Missouri River at Boonville, MO                  29                                                 053                                                29                                                 US
834417      4      06919500                                           Cedar Creek near Pleasant View, MO               29                                                 039                                                29                                                 US
834765      1      07043500                                           Little River Ditch No. 1 near Morehouse, MO      29                                                 207                                                29                                                 US
2191002     1      03433641                                           KELLEY CREEK NEAR KINGFIELD, TN                  47                                                 187                                                47                                                 US
64892       5      06012500                                           Red Rock R bl Lima Reservoir nr Monida MT        30                                                 001                                                30                                                 US
64872       1      05017500                                           St. Mary River near Babb MT                      30                                                 035                                                30                                                 US
64904       2      06016000                                           Beaverhead River at Barretts MT                  30                                                 001                                                30                                                 US
64907       1      06017000                                           Beaverhead River at Dillon MT                    30                                                 001                                                30                                                 US
64878       5      05020500                                           St. Mary River at International Boundary         95                                                 000                                                30                                                 CN
64915       1      06019500                                           Ruby River above reservoir near Alder, MT        30                                                 057                                                30                                                 US
64912       5      06018500                                           Beaverhead River near Twin Bridges MT            30                                                 057                                                30                                                 US
64919       1      06020600                                           Ruby River below reservoir near Alder, MT        30                                                 057                                                30                                                 US
64940       2      06025500                                           Big Hole River near Melrose MT                   30                                                 057                                                30                                                 US
64946       3      06026210                                           Big Hole River near Glen MT                      30                                                 057                                                30                                                 US
64948       2      06026500                                           Jefferson River near Twin Bridges MT             30                                                 057                                                30                                                 US
64981       1      06035000                                           Willow Creek near Harrison MT                    30                                                 057                                                30                                                 US
64986       8      06036650                                           Jefferson River near Three Forks MT              30                                                 007                                                30                                                 US
65453       4      06139500                                           Big Sandy Creek near Havre MT                    30                                                 041                                                30                                                 US
65457       2      06140500                                           Milk River at Havre MT                           30                                                 041                                                30                                                 US
65463       4      06142400                                           Clear Creek near Chinook MT                      30                                                 005                                                30                                                 US
65511       1      06154400                                           Peoples Creek near Hays MT                       30                                                 005                                                30                                                 US
65505       5      06154100                                           Milk River near Harlem MT                        30                                                 005                                                30                                                 US
65498       4      06151500                                           Battle Creek near Chinook MT                     30                                                 005                                                30                                                 US
65512       1      06154410                                           Little Peoples Creek near Hays MT                30                                                 005                                                30                                                 US
65517       2      06154550                                           Peoples Cr bl Kuhr Coulee nr Dodson MT           30                                                 071                                                30                                                 US
65590       2      06172310                                           Milk River at Tampico MT                         30                                                 105                                                30                                                 US
65596       6      06174500                                           Milk River at Nashua MT                          30                                                 105                                                30                                                 US
65617       6      06177000                                           Missouri River near Wolf Point MT                30                                                 055                                                30                                                 US
65567       1      06166000                                           Beaver Cr bl Guston Coulee nr Saco MT            30                                                 071                                                30                                                 US
65662       1      06183450                                           Big Muddy Creek near Antelope MT                 30                                                 091                                                30                                                 US
65649       1      06181000                                           Poplar River near Poplar MT                      30                                                 085                                                30                                                 US
65680       6      06185500                                           Missouri River near Culbertson MT                30                                                 083                                                30                                                 US
65665       2      06183750                                           Lake Creek near Dagmar MT                        30                                                 091                                                30                                                 US
65667       2      06183850                                           Sand Creek near Dagmar MT                        30                                                 091                                                30                                                 US
