site_id     dd_nu  site_no                                            station_nm                                       state_cd                                           county_cd                                          district_cd                                        country_cd
197700      5      07369500                                           Tensas River at Tendal, LA                       22                                                 065                                                22                                                 US
197762      5      07372200                                           Little River near Rochelle, LA                   22                                                 059                                                22                                                 US
197908      1      07375000                                           Tchefuncta River near Folsom, LA                 22                                                 103                                                22                                                 US
197961      5      07375500                                           Tangipahoa River at Robert, LA                   22                                                 105                                                22                                                 US
197968      4      07375800                                           Tickfaw River at Liverpool, LA                   22                                                 091                                                22                                                 US
197973      2      07375960                                           TICKFAW R @ MONTPELIER, LA                       22                                                 091                                                22                                                 US
197974      4      07376000                                           Tickfaw River at Holden, LA                      22                                                 063                                                22                                                 US
197984      1      07376500                                           Natalbany River at Baptist, LA                   22                                                 105                                                22                                                 US
198005      4      07377000                                           Amite River near Darlington, LA                  22                                                 091                                                22                                                 US
198045      14     07378000                                           Comite River near Comite, LA                     22                                                 033                                                22                                                 US
198056      5      07378500                                           Amite River near Denham Springs, LA              22                                                 033                                                22                                                 US
198128      15     07380120                                           Amite River at Port Vincent, LA                  22                                                 063                                                22                                                 US
198242      17     07381235                                           GIWW West of Bayou Lafourche at Larose, LA       22                                                 109                                                22                                                 US
198256      18     07381328                                           Houma Navagation Canal at Dulac, LA              22                                                 109                                                22                                                 US
198259      4      07381331                                           GIWW at Houma, LA                                22                                                 109                                                22                                                 US
198290      14     07381450                                           Lower Grand River at Bayou Sorrel, LA            22                                                 047                                                22                                                 US
198300      13     073814675                                          Bayou Boeuf at Railroad Bridge at Amelia, LA     22                                                 007                                                22                                                 US
198347      24     07381590                                           Wax Lake Outlet at Calumet, LA                   22                                                 101                                                22                                                 US
198356      24     07381600                                           Lower Atchafalaya River at Morgan City, LA       22                                                 101                                                22                                                 US
198361      13     073816503                                          Bayou Penchant S of Morgan City, LA              22                                                 101                                                22                                                 US
198376      13     07381670                                           GIWW at Bayou Sale Ridge near Franklin, LA       22                                                 101                                                22                                                 US
198459      3      07385765                                           Bayou Teche at Adeline Bridge near Jeanerette, L 22                                                 101                                                22                                                 US
198461      14     07385790                                           Charenton Drainage Canal at Baldwin, LA          22                                                 101                                                22                                                 US
198484      14     07386880                                           Vermilion River at Surrey St. at Lafayette, LA   22                                                 055                                                22                                                 US
198498      4      07386980                                           Vermilion River at Perry, LA                     22                                                 113                                                22                                                 US
